CowTagID,Location,sum_total,sum_total_dead,sum_total_alive,sal_sd,temp_sd,TA_sd,pH_sd,phos_sd,NN_sd,silicate_sd,ammonia_sd,MAXenv_params,max_value
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,sal_max,36.58
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,temp_max,29.35
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,TA_max,2362.354403
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,pH_max,8.051251381
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,phos_max,0.23
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,NN_max,2.51686028
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,silicate_max,6.538680142
C1,Cabral,29,14,15,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811,ammonia_max,0.637430379
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,sal_max,36.5
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,temp_max,29.99
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,TA_max,2351.076783
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,pH_max,8.064817779138096
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,phos_max,0.24
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,NN_max,0.49
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,silicate_max,6.79
C10,Cabral,11,8,3,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493,ammonia_max,0.894382275
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,sal_max,36.59
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,temp_max,29.97
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,TA_max,2333.809095
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,pH_max,8.052661638594968
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,phos_max,0.249897615
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,NN_max,1.156297447
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,silicate_max,4.713742766
C11,Cabral,2,1,1,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783,ammonia_max,0.965451554
C12,Cabral,86,48,38,0.16610667828666276,0.585313103023867,33.210466048498475,0.05223049236272986,0.03572605045057753,0.47699604650316757,1.13102145730321,0.2604879640502657,sal_max,36.65
C12,Cabral,86,48,38,0.16610667828666276,0.585313103023867,33.210466048498475,0.05223049236272986,0.03572605045057753,0.47699604650316757,1.13102145730321,0.2604879640502657,temp_max,28.83
C12,Cabral,86,48,38,0.16610667828666276,0.585313103023867,33.210466048498475,0.05223049236272986,0.03572605045057753,0.47699604650316757,1.13102145730321,0.2604879640502657,TA_max,2358.511584
C12,Cabral,86,48,38,0.16610667828666276,0.585313103023867,33.210466048498475,0.05223049236272986,0.03572605045057753,0.47699604650316757,1.13102145730321,0.2604879640502657,pH_max,8.058770289873383
