Location,CowTagID,lat,lon,adj_CT_depth_cm,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V3,-17.54012598,-149.90056,52,0.2793432386548866,0.67045565319345,0.5316379820132989,10.43461544756868,55.78839285379749,34.358868080523735,20.767806153025504,28.478719196956497,15.428385152615428,24.068465497485363,54.82982167887741,58.68450334292648,4,32.45090909,1.080889867
Varari,V4,-17.54024902,-149.900454,58.7,0.15018441390325699,0.8148307011627548,0.1935568073880772,6.593406593406594,65.3205103062328,48.49701972453552,65.70901595232822,21.4938908444058,25.316014344756827,38.32559490227281,73.88104075174692,98.86234080455051,3.9,29.54045307,1.16017121
Varari,V5,-17.54025003,-149.900336,70.9,0.32703340333117853,0.8484361102369503,0.1788221662177194,12.895299054977711,109.35016410253576,46.69989739336228,66.44862301909488,30.865276832987192,59.796457955964875,26.535032851623974,85.2715792689815,133.12078814902387,4.1,34.53696498,0.974888097
Varari,V6,-17.54002498,-149.900106,67.69999999999999,0.2588939100796746,0.7859378250908692,0.25882454527324605,13.516617991854188,62.790345528638944,34.411818625890604,43.06869819258151,26.876226227007074,26.06866013465512,14.363247562981963,66.80136638323492,101.98658661331474,4.9,31.34586466,1.074096507
Varari,V7,-17.54004803,-149.899985,45.9,0.29450638804930207,0.7011157609733852,0.3629911180891429,7.506923638065641,47.79139448452654,26.401109808424746,37.874805357734324,12.321138355464486,29.33133576086544,17.973143617377435,74.5945115736296,86.20907378227193,4.8,31.32931727,0.994806233
Varari,V8,-17.54014903,-149.899896,37.9,0.6249739573359883,0.8173382744667473,0.5452697011640141,15.548413805175699,119.69716701299124,59.78174819254593,43.487459819378074,28.17684313578112,40.379351065977495,24.240429350165684,60.635544368855285,106.31227159061778,5.2,26.95665635,1.263891063
Varari,V9,-17.540245,-149.899765,77,0.1153925437009229,0.9681711393501766,0.1852399490849337,4.444444444444442,49.64551386872236,13.048222925438086,42.42640687119286,25.698562056828106,27.72832668795726,8.022407120137766,61.768063346583126,83.32878324992487,3.6,38.33766234,0.892029657
Varari,V10,-17.54030501,-149.899788,32.9,0.2087153487420246,1.1315326798321752,0.19712671978323404,2.685350089254076,72.52566934967588,19.215019048813463,25.782681525913215,33.119771948777355,35.69339217633466,17.194889005128836,80.6100877760128,109.53514841549192,4,33.6626506,0.977659115
Varari,V11,-17.54019303,-149.900068,55.599999999999994,0.49544272598986944,1.154147295576953,0.1365403469803171,5.921438772761373,127.95214053663051,55.13290215863886,57.707935262025856,15.842377833571803,27.289691646577936,23.95882826723657,65.45968412318555,99.29372781131399,4.5,28.34951456,1.187867605
Varari,V12,-17.54030996,-149.900112,54.7,0.21722784944883453,0.4192495541607882,0.19497136747607902,9.819304088496757,83.6747946155894,23.701368513785816,53.4875479193485,19.7790125321537,28.870022319373422,26.281331012913434,78.13442232806364,110.99019649354615,3.8,31.12132353,1.101526748
Varari,V13,-17.540749,-149.899133,72.80000000000001,0.15970835099549052,0.8854334637584532,0.24061910812708132,6.8396652163519995,27.388662535630008,5.488114604737527,18.125692120898346,28.606420597441634,45.12045990399661,13.46956427295285,65.72472805972725,103.31214798405857,3.6,36.34156379,0.949033392
Varari,V14,-17.54039696,-149.899396,61.8,0.13202564413799933,1.4489816638493156,0.39208436353028797,2.247191011235957,36.351650079991096,14.427128138470401,37.75598499962861,37.259548657242675,48.431011674669676,20.728074569164693,76.17362842022594,117.48921383167992,4.5,36.73913043,0.892337536
Varari,V15,-17.54014299,-149.900183,43.50000000000001,0.3993392537686044,1.2576023694090126,0.46986111902388505,18.32491389163405,124.08580688286553,54.38205041562342,24.274691503079605,29.693748581956296,36.80437023113069,12.29149027239978,72.97857540188787,124.70858624378485,4.6,30.09271523,1.139493642
Varari,V16,-17.54029797,-149.900492,75.7,0.22977252572463344,0.8558439357541056,0.2958537712884415,4.878048780487803,29.326540899096088,20.360946887818706,58.93200469947726,35.33196472409508,43.23518670957323,36.185385965397124,74.77470555581401,112.9940798947439,3.7,38.21461187,0.876701361
Varari,V17,-17.54031901,-149.899572,69.2,1.199832735792775,0.8930293778926308,0.30049729430006134,16.611656238360524,82.32566676337613,43.521676780775834,13.550013022350507,34.34511578012972,40.63144582151508,16.25074305415066,74.01483187769745,115.6980008869982,4.3,30.83150183,1.079862347
Varari,V18,-17.54019697,-149.899906,31.500000000000007,0.5261297522458797,1.105961590078255,0.1975068262959246,19.54339899926429,116.83011819158631,57.33203156666398,34.815531191139556,27.708967639619754,43.44933837513153,22.574873752034723,74.56629165571273,110.22546382176226,4.3,28.9893617,1.167943674
Varari,V19,-17.54050802,-149.89978,82.9,0.41735652551391966,1.0764565441062075,0.31475588058303,7.228915662650601,24.358360531463987,28.404233183689055,55.05828438658037,19.331140741949426,26.519751612832227,27.82594522326421,78.50434171046449,113.0786485461034,3.5,34.24723247,1.03684432
Varari,V20,-17.54045103,-149.899509,65,0.2900213124211837,0.923841622176224,0.29608178352200215,18.175106237265048,39.92970862249473,28.368858843917966,34.43843710955662,28.87282979298986,30.863086092168164,18.343906978357484,71.61210791195228,106.50698258362058,3.8,33.57370518,0.988305705
Varari,VSEEP,-17.540302,-149.899331,NA,6.000281183972864,5.9636904747077075,1.1501568236834872,66.30108093638695,120.36640194893326,125.23296239255114,51.295458083690704,23.984702783816957,57.652665554737204,41.15280019871381,42.469774826960375,76.13792752446984,8,25.96463023,1.249297019
Cabral,C1,-17.517048,-149.912693,78.9,0.3593855169653809,0.9058649046611131,1.1119861524914432,23.971413866036166,23.006358649129876,80.33729913715709,118.38551326909462,17.07299265648699,25.558004890576395,20.207964899512262,62.63102713043177,85.93562751451053,3.5,48.46153846,0.638899128
Cabral,C2,-17.51706904,-149.912949,87.19999999999999,0.21134423707128772,2.0120574800740405,1.1749790991599236,2.5471335405424687,63.853898502370384,13.021925274222884,97.87847302391548,17.252304281256762,12.270868477884317,27.254058939021565,51.46205978467031,67.49842067984564,3.5,42.07428571,0.677113562
Cabral,C3,-17.51697499,-149.913111,99.6,0.1570385992616799,0.6428679561328204,0.9434243473589303,19.64138792027019,44.93328985332671,25.62017114526565,111.42178788197043,38.367082514694744,23.744800299673447,39.72450996420961,68.037047368982,94.39327868008269,3.2,39.455,0.769497134
