CowTagID,Location,Side,Pocilloporidae,Poritidae,Acroporidae,Other ,Dead,SGD_level,Notes
C4,Cabral ,Top ,0,0,0,0,0,Mid,
C4,Cabral ,Side ,0,0,0,0,0,Mid,
C3,Cabral ,Bottom ,1,0,0,0,0,High,
C3,Cabral ,Top ,0,0,0,0,0,High,
C3,Cabral ,Side ,0,0,0,0,0,High,
C2,Cabral ,Bottom ,15,0,0,0,11,High,
C2,Cabral ,Top ,0,0,0,0,0,High,
C2,Cabral ,Side ,0,0,0,0,0,High,
C1,Cabral ,Bottom ,29,0,0,0,14,Low,
C1,Cabral ,Top ,0,0,0,0,0,Low,
C1,Cabral ,Side ,0,0,0,0,0,Low,
C7,Cabral ,Bottom ,8,0,0,0,5,Mid,
C7,Cabral ,Top ,0,0,0,0,0,Mid,
C7,Cabral ,Side ,0,0,0,0,0,Mid,
