Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs,Predictor,delAIC
pH_CV,(Intercept),3.057143713155445,0.25058701893362806,12.19992849655623,3.4477792832353345e-9,0.30414366161551826,0.21136281649758737,1.063150682191741,3.2780867778142193,0.06590174374173065,2,-25.00226272706988,58.00452545413976,61.566012485724414,16.95434059567146,15,18,pH CV,0
pH_CV,"poly(Predictor_Values, degree = 2)1",-1.3373528726180015,1.063150682191741,-1.2579147011042484,0.22765298008997975,0.30414366161551826,0.21136281649758737,1.063150682191741,3.2780867778142193,0.06590174374173065,2,-25.00226272706988,58.00452545413976,61.566012485724414,16.95434059567146,15,18,pH CV,0
pH_CV,"poly(Predictor_Values, degree = 2)2",2.3710463074061434,1.0631506821917407,2.230207201220158,0.041431794994543227,0.30414366161551826,0.21136281649758737,1.063150682191741,3.2780867778142193,0.06590174374173065,2,-25.00226272706988,58.00452545413976,61.566012485724414,16.95434059567146,15,18,pH CV,0
pH_max,(Intercept),398.4557487323787,157.12527560626572,2.5359112160341017,0.022021262837411335,0.2835572409064775,0.2387795684631323,1.044507145928677,6.3325587381802295,0.02290256822745787,1,-25.264658859304657,56.52931771860931,59.200432992297806,17.45592284633713,16,18,Max pH,0
pH_max,Predictor_Values,-48.998190314407054,19.471097290516646,-2.516457577266152,0.02290256822745786,0.2835572409064775,0.2387795684631323,1.044507145928677,6.3325587381802295,0.02290256822745787,1,-25.264658859304657,56.52931771860931,59.200432992297806,17.45592284633713,16,18,Max pH,0
pH_max,(Intercept),3.057143713155445,0.2537302588886107,12.048794363535299,4.0894356309794386e-9,0.2865772185768483,0.19145418105376133,1.0764863199141295,3.012700456577561,0.07945153647225181,2,-25.226641523159085,58.45328304631817,62.014770077902824,17.382341954433983,15,18,Max pH,0.44875759217840994
pH_max,"poly(Predictor_Values, degree = 2)1",-2.628457921881051,1.0764863199141295,-2.4417011839878477,0.02748564584212074,0.2865772185768483,0.19145418105376133,1.0764863199141295,3.012700456577561,0.07945153647225181,2,-25.226641523159085,58.45328304631817,62.014770077902824,17.382341954433983,15,18,Max pH,0.44875759217840994
pH_max,"poly(Predictor_Values, degree = 2)2",-0.27125798034740867,1.0764863199141295,-0.2519846052191789,0.8044728941906596,0.2865772185768483,0.19145418105376133,1.0764863199141295,3.012700456577561,0.07945153647225181,2,-25.226641523159085,58.45328304631817,62.014770077902824,17.382341954433983,15,18,Max pH,0.44875759217840994
temp_CV,(Intercept),10.498918808280308,3.2654509882223373,3.2151512443908286,0.005402871098983779,0.24616584312835557,0.1990512083238778,1.0714170976817545,5.22482757533674,0.03624322580522476,1,-25.72252520356314,57.44505040712628,60.116165680814774,18.36695355527671,16,18,Temperature CV,0.9157326885169681
temp_CV,Predictor_Values,-25012.614081881922,10942.664927980679,-2.285788173767801,0.03624322580522479,0.24616584312835557,0.1990512083238778,1.0714170976817545,5.22482757533674,0.03624322580522476,1,-25.72252520356314,57.44505040712628,60.116165680814774,18.36695355527671,16,18,Temperature CV,0.9157326885169681
temp_CV,(Intercept),3.057143713155445,0.25720201641809776,11.886157642659647,4.923681932199422e-9,0.2669203120752858,0.16917635368532402,1.0912157396645439,2.7308113613567135,0.09741680845886268,2,-25.471263365822026,58.94252673164405,62.50401376322871,17.861276857374563,15,18,Temperature CV,0.9380012775042914
temp_CV,"poly(Predictor_Values, degree = 2)1",-2.449032531053574,1.0912157396645439,-2.244315621589589,0.04032578651972207,0.2669203120752858,0.16917635368532402,1.0912157396645439,2.7308113613567135,0.09741680845886268,2,-25.471263365822026,58.94252673164405,62.50401376322871,17.861276857374563,15,18,Temperature CV,0.9380012775042914
temp_CV,"poly(Predictor_Values, degree = 2)2",0.7111094837661431,1.091215739664544,0.6516671799334096,0.5244756991505772,0.2669203120752858,0.16917635368532402,1.0912157396645439,2.7308113613567135,0.09741680845886268,2,-25.471263365822026,58.94252673164405,62.50401376322871,17.861276857374563,15,18,Temperature CV,0.9380012775042914
TA_min,(Intercept),3.057143713155445,0.2754618686020155,11.098246478435007,1.247693430202427e-8,0.1591366443246961,0.047021530234655606,1.168685731480817,1.4194040260877963,0.272546556620049,2,-26.705836184565175,61.41167236913035,64.973159400715,20.487395084502786,15,18,Min TA,3.407146914990591
TA_min,"poly(Predictor_Values, degree = 2)1",0.6185007749582969,1.1686857314808172,0.5292276257832014,0.6043919826600462,0.1591366443246961,0.047021530234655606,1.168685731480817,1.4194040260877963,0.272546556620049,2,-26.705836184565175,61.41167236913035,64.973159400715,20.487395084502786,15,18,Min TA,3.407146914990591
TA_min,"poly(Predictor_Values, degree = 2)2",1.8694318923963495,1.168685731480817,1.599601879307307,0.13053360895149224,0.1591366443246961,0.047021530234655606,1.168685731480817,1.4194040260877963,0.272546556620049,2,-26.705836184565175,61.41167236913035,64.973159400715,20.487395084502786,15,18,Min TA,3.407146914990591
TA_CV,(Intercept),3.057143713155445,0.27784989100633445,11.002860940786721,1.4013444399679352e-8,0.14449429560842583,0.030426868356215997,1.1788172524951332,1.2667445833501647,0.3102214495131694,2,-26.861208520037213,61.722417040074426,65.28390407165908,20.84415172170262,15,18,TA CV,3.717891585934666
TA_CV,"poly(Predictor_Values, degree = 2)1",-0.49291580188015394,1.1788172524951332,-0.41814437380928043,0.6817663047892234,0.14449429560842583,0.030426868356215997,1.1788172524951332,1.2667445833501647,0.3102214495131694,2,-26.861208520037213,61.722417040074426,65.28390407165908,20.84415172170262,15,18,TA CV,3.717891585934666
